Kanji;Definition;Pronounciation;Grade
崩;crumble;ホウ、くず-れる、くず-す;S
訪;visit;ホウ、おとず-れる、たず-ねる;6
報;report;ホウ、むく-いる;5
蜂;bee;ホウ、はち;S
豊;bountiful;ホウ、ゆた-か;5
飽;sated;ホウ、あ-きる、あ-かす;S
褒;praise;ホウ、ほ-める;S
縫;sew;ホウ、ぬ-う;S
亡;deceased;ボウ、（モウ）、な-い;6
乏;scarce;ボウ、とぼ-しい;S
忙;busy;ボウ、いそが-しい;S
坊;boy;ボウ、（ボッ）;S
妨;disturb;ボウ、さまた-げる;S
忘;forget;ボウ、わす-れる;6
防;prevent;ボウ、ふせ-ぐ;5
房;tassel;ボウ、ふさ;S
肪;obese;ボウ;S
某;so-and-so;ボウ;S
冒;risk;ボウ、おか-す;S
剖;divide;ボウ;S
紡;spinning;ボウ、つむ-ぐ;S
望;hope;ボウ、モウ、のぞ-む;4
傍;bystander;ボウ、かたわ-ら;S
帽;cap;ボウ;S
棒;rod;ボウ;6
貿;trade;ボウ;5
貌;appearance;ボウ;S
暴;outburst;ボウ、（バク）、あば-く、あば-れる;5
膨;swell;ボウ、ふく-らむ、ふく-れる;S
謀;conspire;ボウ、（ム）、はか-る;S
頰;cheek;ほお;S
北;north;ホク、きた;2
木;tree;ボク、モク、き、（こ）;1
朴;crude;ボク;S
牧;breed;ボク、まき;4
睦;harmonious;ボク;S
僕;me;ボク;S
墨;black ink;ボク、すみ;S
撲;slap;ボク;S
没;drown;ボツ;S
勃;rise;ボツ;S
堀;ditch;ほり;S
本;book;ホン、もと;1
奔;bustle;ホン;S
翻;flip;ホン、ひるがえ-る、ひるがえ-す;S
凡;mediocre;ボン、（ハン）;S
盆;basin;ボン;S
麻;hemp;マ、あさ;S
摩;chafe;マ;S
磨;grind;マ、みが-く;S
魔;witch;マ;S
毎;every;マイ;2
妹;younger sister;マイ、いもうと;2
枚;sheet of...;マイ;6
昧;foolish;マイ;S
埋;bury;マイ、う-める、う-まる、う-もれる;S
幕;curtain;マク、バク;6
膜;membrane;マク;S
枕;pillow;まくら;S
又;or again;また;S
末;end;マツ、バツ、すえ;4
抹;rub;マツ;S
万;ten thousand;マン、バン;2
満;full;マン、み-ちる、み-たす;4
慢;ridicule;マン;S
漫;cartoon;マン;S
未;not yet;ミ;4
味;flavor;ミ、あじ、あじ-わう;3
魅;fascination;ミ;S
岬;headland;みさき;S
密;secrecy;ミツ;6
蜜;honey;ミツ;S
脈;vein;ミャク;5
妙;exquisite;ミョウ;S
民;people;ミン、たみ;4
眠;sleep;ミン、ねむ-る、ねむ-い;S
矛;halberd;ム、ほこ;S
務;duty;ム、つと-める、つと-まる;5
無;nothing;ム、ブ、な-い;4
夢;dream;ム、ゆめ;5
霧;fog;ム、きり;S
娘;daughter;むすめ;S
名;name;メイ、ミョウ、な;1
命;fate;メイ、ミョウ、いのち;3
明;bright;メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす;2
迷;astray;メイ、まよ-う;5
冥;dark;メイ、ミョウ;S
盟;alliance;メイ;6
銘;inscription;メイ;S
鳴;chirp;メイ、な-く、な-る、な-らす;2
滅;destroy;メツ、ほろ-びる、ほろ-ぼす;S
免;excuse;メン、まぬか-れる;S
面;face;メン、おも、おもて、つら;3
綿;cotton;メン、わた;5
麺;noodles;メン;S
茂;overgrown;モ、しげ-る;S
模;imitation;モ、ボ;6
毛;hair;モウ、け;2
妄;delusion;モウ、ボウ;S
盲;blind;モウ;S
耗;decrease;モウ、（コウ）;S
猛;fierce;モウ;S
網;netting;モウ、あみ;S
目;eye;モク、（ボク）、め、（ま）;1
黙;silence;モク、だま-る;S
門;gates;モン、かど;2
紋;family crest;モン;S
問;question;モン、と-う、と-い、（とん）;3
冶;melting;ヤ;S
夜;night;ヤ、よ、よる;2
野;field;ヤ、の;2
弥;all the more;や;S
厄;unlucky;ヤク;S
役;service;ヤク、エキ;3
約;promise;ヤク;4
訳;translate;ヤク、わけ;6
薬;medicine;ヤク、くすり;3
躍;leap;ヤク、おど-る;S
闇;darkness;やみ;S
由;reason;ユ、ユウ、（ユイ）、よし;3
油;oil;ユ、あぶら;3
喩;metaphor;ユ;S
愉;pleasure;ユ;S
諭;rebuke;ユ、さと-す;S
輸;transport;ユ;5
癒;healing;ユ、い-える、い-やす;S
唯;solely;ユイ、（イ）;S
友;friend;ユウ、とも;2
有;have;ユウ、ウ、あ-る;3
勇;courage;ユウ、いさ-む;4
幽;seclude;ユウ;S
悠;permanence;ユウ;S
郵;mail;ユウ;6
湧;boil;ユウ、わ-く;S
猶;furthermore;ユウ;S
裕;abundant;ユウ;S
遊;play;ユウ、（ユ）、あそ-ぶ;3
雄;male;ユウ、お、おす;S
誘;entice;ユウ、さそ-う;S
憂;melancholy;ユウ、うれ-える、うれ-い、う-い;S
融;dissolve;ユウ;S
優;superior;ユウ、やさ-しい、すぐ-れる;6
与;give;ヨ、あた-える;S
予;in advance;ヨ;3
余;leave over;ヨ、あま-る、あま-す;5
誉;reputation;ヨ、ほま-れ;S
預;deposit;ヨ、あず-ける、あず-かる;6
幼;infancy;ヨウ、おさな-い;6
用;use;ヨウ、もち-いる;2
羊;sheep;ヨウ、ひつじ;3
妖;bewitching;ヨウ、あや-しい;S
洋;ocean;ヨウ;3
要;need;ヨウ、かなめ、い-る;4
容;contain;ヨウ;5
庸;commonplace;ヨウ;S
揚;hoist;ヨウ、あ-げる、あ-がる;S
揺;swing;ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる;S
葉;leaf;ヨウ、は;3
陽;sunshine;ヨウ;3
溶;melt;ヨウ、と-ける、と-かす、と-く;S
腰;loins;ヨウ、こし;S
様;formal title;ヨウ、さま;3
瘍;boil (medical);ヨウ;S
踊;jump;ヨウ、おど-る、おど-り;S
窯;kiln;ヨウ、かま;S
養;foster;ヨウ、やしな-う;4
擁;embrace;ヨウ;S
謡;noh chanting;ヨウ、うたい、うた-う;S
曜;day of the week;ヨウ;2
抑;repress;ヨク、おさ-える;S
沃;fertility;ヨク;S
浴;bathe;ヨク、あ-びる、あ-びせる;4
欲;longing;ヨク、ほっ-する、ほ-しい;6
翌;the following;ヨク;6
翼;wing;ヨク、つばさ;S
拉;crush;ラ;S
裸;naked;ラ、はだか;S
羅;gauze;ラ;S
来;come;ライ、く-る、きた-る、きた-す;2
雷;thunder;ライ、かみなり;S
頼;trust;ライ、たの-む、たの-もしい、たよ-る;S
絡;entwine;ラク、から-む、から-まる、から-める;S
落;fall;ラク、お-ちる、お-とす;3
酪;dairy products;ラク;S
辣;bitter;ラツ;S
乱;riot;ラン、みだ-れる、みだ-す;6
卵;egg;ラン、たまご;6
覧;perusal;ラン;6
濫;excessive;ラン;S
藍;indigo;ラン、あい;S
欄;column;ラン;S
吏;officer;リ;S
利;profit;リ、き-く;4
里;village;リ、さと;2
理;reason;リ;2
痢;diarrhea;リ;S
裏;back;リ、うら;6
履;footgear;リ、は-く;S
璃;glassy;リ;S
離;detach;リ、はな-れる、はな-す;S
陸;land;リク;4
立;stand up;リツ、（リュウ）、た-つ、た-てる;1
律;law;リツ、（リチ）;6
慄;fear;リツ;S
略;abbreviation;リャク;5
柳;willow;リュウ、やなぎ;S
流;stream;リュウ、（ル）、なが-れる、なが-す;3
留;detain;リュウ、（ル）、と-める、と-まる;5
竜;dragon;リュウ、たつ;S
粒;grains;リュウ、つぶ;S
隆;hump;リュウ;S
硫;sulphur;リュウ;S
侶;companion;リョ;S
旅;trip;リョ、たび;3
虜;captive;リョ;S
慮;prudence;リョ;S
了;finish;リョウ;S
両;both;リョウ;3
良;good;リョウ、よ-い;4
料;fee;リョウ;4
涼;refreshing;リョウ、すず-しい、すず-む;S
猟;game-hunting;リョウ;S
陵;mausoleum;リョウ、みささぎ;S
量;quantity;リョウ、はか-る;4
僚;colleague;リョウ;S
領;territory;リョウ;5
寮;dormitory;リョウ;S
療;heal;リョウ;S
瞭;clear;リョウ;S
糧;provisions;リョウ、（ロウ）、かて;S
力;power;リョク、リキ、ちから;1
緑;green;リョク、（ロク）、みどり;3
林;woods;リン、はやし;1
厘;thousandth;リン;S
倫;ethics;リン;S
輪;wheel;リン、わ;4
隣;neighboring;リン、とな-る、となり;S
臨;look to;リン、のぞ-む;6
瑠;lapis lazuli;ル;S
涙;tears;ルイ、なみだ;S
累;accumulate;ルイ;S
塁;bases;ルイ;S
類;sort;ルイ、たぐ-い;4
令;orders;レイ;4
礼;thanks;レイ、ライ;3
冷;cool;レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます;4
励;encourage;レイ、はげ-む、はげ-ます;S
戻;re-;レイ、もど-す、もど-る;S
例;example;レイ、たと-える;4
鈴;small bell;レイ、リン、すず;S
零;zero;レイ;S
霊;spirits;レイ、リョウ、たま;S
隷;slave;レイ;S
齢;age;レイ;S
麗;lovely;レイ、うるわ-しい;S
暦;calendar;レキ、こよみ;S
歴;curriculum;レキ;5
列;row;レツ;3
劣;inferiority;レツ、おと-る;S
烈;ardent;レツ;S
裂;split;レツ、さ-く、さ-ける;S
恋;romance;レン、こ-う、こい、こい-しい;S
連;take along;レン、つら-なる、つら-ねる、つ-れる;4
廉;bargain;レン;S
練;practice;レン、ね-る;3
錬;tempering;レン;S
呂;spine;ロ;S
炉;hearth;ロ;S
賂;bribe;ロ;S
路;road;ロ、じ;3
露;dew;ロ、（ロウ）、つゆ;S
老;old man;ロウ、お-いる、ふ-ける;4
労;labour;ロウ;4
弄;tamper with;ロウ、もてあそ-ぶ;S
郎;son;ロウ;S
朗;melodious;ロウ、ほが-らか;6
浪;wandering;ロウ;S
廊;corridor;ロウ;S
楼;watchtower;ロウ;S
漏;leak;ロウ、も-る、も-れる、も-らす;S
籠;basket;ロウ、かご、こ-もる;S
六;six;ロク、む、む-つ、むっ-つ、（むい）;1
録;record;ロク;4
麓;foot of a mountain;ロク、ふもと;S
論;theory;ロン;6
和;peace;ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか;3
話;talk;ワ、はな-す、はなし;2
賄;bribe, board;ワイ、まかな-う;S
脇;aside;わき;S
惑;beguile;ワク、まど-う;S
枠;frame;わく;S
湾;gulf;ワン;S
腕;arm;ワン、うで;S
Appendix:Joyo kanji by reading;;;
